perturbation,ssim,pearson,pred_base,pred_pert,pred_changed,prob_class_base,prob_class_pert,filename,model,class_idx,class_name,prob_pred
bright_plus10,0.998435869810457,0.9998901533285827,5,5,0,0.7654465436935425,0.7656635046005249,BMMBT1.jpg,efficientnet_b2,5,Bioturbated muddy media,0.7654465436935425
bright_minus10,0.9991318339721973,0.9998937432713879,5,5,0,0.7654465436935425,0.7658358812332153,BMMBT1.jpg,efficientnet_b2,5,Bioturbated muddy media,0.7654465436935425
noise_sigma6,0.9704714483033476,0.9926541747116495,5,5,0,0.7654465436935425,0.7662197351455688,BMMBT1.jpg,efficientnet_b2,5,Bioturbated muddy media,0.7654465436935425
blur_sigma2,0.02768005431444554,-0.5386027104032608,5,6,1,0.7654465436935425,0.007634639739990234,BMMBT1.jpg,efficientnet_b2,5,Bioturbated muddy media,0.7654465436935425
shift_5px,0.8829377725665221,0.9261028818578096,5,5,0,0.7654465436935425,0.7227330803871155,BMMBT1.jpg,efficientnet_b2,5,Bioturbated muddy media,0.7654465436935425
bright_plus10,0.9949165573049681,0.9988271294153614,5,5,0,0.7695808410644531,0.7710566520690918,BMMBT2.jpg,efficientnet_b2,5,Bioturbated muddy media,0.7695808410644531
bright_minus10,0.9947408561230047,0.9991791510561593,5,5,0,0.7695808410644531,0.7679935097694397,BMMBT2.jpg,efficientnet_b2,5,Bioturbated muddy media,0.7695808410644531
noise_sigma6,0.9314250972836221,0.9627133577676722,5,5,0,0.7695808410644531,0.7688416838645935,BMMBT2.jpg,efficientnet_b2,5,Bioturbated muddy media,0.7695808410644531
blur_sigma2,0.8141055332698356,0.9807164436706114,5,5,0,0.7695808410644531,0.7741411328315735,BMMBT2.jpg,efficientnet_b2,5,Bioturbated muddy media,0.7695808410644531
shift_5px,0.8103167798244546,0.9529164654049596,5,5,0,0.7695808410644531,0.7775065898895264,BMMBT2.jpg,efficientnet_b2,5,Bioturbated muddy media,0.7695808410644531
bright_plus10,0.9779920890775556,0.9895450023121193,6,6,0,0.8339811563491821,0.8406819105148315,BSMBT1.jpg,efficientnet_b2,6,Bioturbated sandy media,0.8339811563491821
bright_minus10,0.98984949565297,0.9933955344922853,6,6,0,0.8339811563491821,0.8281010985374451,BSMBT1.jpg,efficientnet_b2,6,Bioturbated sandy media,0.8339811563491821
noise_sigma6,0.9818537872594753,0.9895908176275942,6,6,0,0.8339811563491821,0.8392817974090576,BSMBT1.jpg,efficientnet_b2,6,Bioturbated sandy media,0.8339811563491821
blur_sigma2,0.8912971379067167,0.8949440548250912,6,6,0,0.8339811563491821,0.848426878452301,BSMBT1.jpg,efficientnet_b2,6,Bioturbated sandy media,0.8339811563491821
shift_5px,0.8616507652099411,0.8722687475883506,6,6,0,0.8339811563491821,0.8383386731147766,BSMBT1.jpg,efficientnet_b2,6,Bioturbated sandy media,0.8339811563491821
bright_plus10,0.998994049821455,0.9983462998998581,6,6,0,0.8217069506645203,0.8199553489685059,BSMBT2.jpg,efficientnet_b2,6,Bioturbated sandy media,0.8217069506645203
bright_minus10,0.9983794418045311,0.9980068339875966,6,6,0,0.8217069506645203,0.8238239288330078,BSMBT2.jpg,efficientnet_b2,6,Bioturbated sandy media,0.8217069506645203
noise_sigma6,0.9528088022533585,0.9514838098057116,6,6,0,0.8217069506645203,0.8409207463264465,BSMBT2.jpg,efficientnet_b2,6,Bioturbated sandy media,0.8217069506645203
