perturbation,ssim,pearson,pred_base,pred_pert,pred_changed,prob_class_base,prob_class_pert,filename,model,class_idx,class_name,prob_pred
bright_plus10,0.991093142768488,0.998596189828117,6,6,0,0.8357357978820801,0.8481168150901794,BMMBT1.jpg,resnet50,6,Bioturbated sandy media,0.8357357978820801
bright_minus10,0.9827294277202681,0.9980972890425522,6,6,0,0.8357357978820801,0.8107687830924988,BMMBT1.jpg,resnet50,6,Bioturbated sandy media,0.8357357978820801
noise_sigma6,0.9641189825101117,0.995603420870539,6,6,0,0.8357357978820801,0.7959821224212646,BMMBT1.jpg,resnet50,6,Bioturbated sandy media,0.8357357978820801
blur_sigma2,0.8586919162854805,0.9595757917330406,6,6,0,0.8357357978820801,0.8567238450050354,BMMBT1.jpg,resnet50,6,Bioturbated sandy media,0.8357357978820801
shift_5px,0.7956085953630702,0.8928510974069802,6,5,1,0.8357357978820801,0.20799073576927185,BMMBT1.jpg,resnet50,6,Bioturbated sandy media,0.8357357978820801
bright_plus10,0.9826337435878434,0.9975309659479243,5,5,0,0.7602049708366394,0.765266478061676,BMMBT2.jpg,resnet50,5,Bioturbated muddy media,0.7602049708366394
bright_minus10,0.9820630451139603,0.9980011005183225,5,5,0,0.7602049708366394,0.7565455436706543,BMMBT2.jpg,resnet50,5,Bioturbated muddy media,0.7602049708366394
noise_sigma6,0.9558248553246663,0.9906380132547493,5,5,0,0.7602049708366394,0.754196047782898,BMMBT2.jpg,resnet50,5,Bioturbated muddy media,0.7602049708366394
blur_sigma2,0.7071235695499988,0.9252756349800435,5,5,0,0.7602049708366394,0.7640424966812134,BMMBT2.jpg,resnet50,5,Bioturbated muddy media,0.7602049708366394
shift_5px,0.8436121883264456,0.9547770565289377,5,5,0,0.7602049708366394,0.7273973822593689,BMMBT2.jpg,resnet50,5,Bioturbated muddy media,0.7602049708366394
bright_plus10,0.9867626148829526,0.9980410077056243,6,6,0,0.817443311214447,0.8204864859580994,BSMBT1.jpg,resnet50,6,Bioturbated sandy media,0.817443311214447
bright_minus10,0.9845628081804052,0.998341092833558,6,6,0,0.817443311214447,0.8249959945678711,BSMBT1.jpg,resnet50,6,Bioturbated sandy media,0.817443311214447
noise_sigma6,0.9777448349652311,0.9938003272120033,6,6,0,0.817443311214447,0.8166868686676025,BSMBT1.jpg,resnet50,6,Bioturbated sandy media,0.817443311214447
blur_sigma2,0.8296968073311899,0.9514927452376857,6,8,1,0.817443311214447,0.28907978534698486,BSMBT1.jpg,resnet50,6,Bioturbated sandy media,0.817443311214447
shift_5px,0.7488013242561313,0.9056660261020211,6,6,0,0.817443311214447,0.8264917731285095,BSMBT1.jpg,resnet50,6,Bioturbated sandy media,0.817443311214447
bright_plus10,0.9817422327381946,0.9961914218619331,6,6,0,0.8549611568450928,0.8555631041526794,BSMBT2.jpg,resnet50,6,Bioturbated sandy media,0.8549611568450928
bright_minus10,0.9869293853340803,0.9981987774084269,6,6,0,0.8549611568450928,0.8572198152542114,BSMBT2.jpg,resnet50,6,Bioturbated sandy media,0.8549611568450928
noise_sigma6,0.9625023814659309,0.9892634724092986,6,6,0,0.8549611568450928,0.8657740950584412,BSMBT2.jpg,resnet50,6,Bioturbated sandy media,0.8549611568450928
blur_sigma2,0.9004853040139218,0.9755970545300506,6,6,0,0.8549611568450928,0.8776836395263672,BSMBT2.jpg,resnet50,6,Bioturbated sandy media,0.8549611568450928
shift_5px,0.7276382184262973,0.8374520508686999,6,6,0,0.8549611568450928,0.8656719326972961,BSMBT2.jpg,resnet50,6,Bioturbated sandy media,0.8549611568450928
bright_plus10,0.9856203203876155,0.9962129587371795,5,5,0,0.7680084705352783,0.7690349817276001,CBBT1.jpg,resnet50,5,Bioturbated muddy media,0.7680084705352783
bright_minus10,0.9857690476747125,0.9978382560649866,5,5,0,0.7680084705352783,0.7616826891899109,CBBT1.jpg,resnet50,5,Bioturbated muddy media,0.7680084705352783
noise_sigma6,0.9545478523254154,0.9868417644809134,5,5,0,0.7680084705352783,0.775054931640625,CBBT1.jpg,resnet50,5,Bioturbated muddy media,0.7680084705352783
blur_sigma2,0.7222439571807591,0.9119174491329236,5,3,1,0.7680084705352783,0.01562654972076416,CBBT1.jpg,resnet50,5,Bioturbated muddy media,0.7680084705352783
shift_5px,0.7502921151204067,0.894870855077334,5,5,0,0.7680084705352783,0.35976576805114746,CBBT1.jpg,resnet50,5,Bioturbated muddy media,0.7680084705352783
bright_plus10,0.9920740281102753,0.9982710734124892,1,1,0,0.9185512065887451,0.9171753525733948,CBBT2.jpg,resnet50,1,Cross bedding,0.9185512065887451
bright_minus10,0.986266225871138,0.9979029287170385,1,1,0,0.9185512065887451,0.9272085428237915,CBBT2.jpg,resnet50,1,Cross bedding,0.9185512065887451
noise_sigma6,0.9820570873334726,0.9951172517057194,1,1,0,0.9185512065887451,0.9256572723388672,CBBT2.jpg,resnet50,1,Cross bedding,0.9185512065887451
blur_sigma2,0.8003968264422849,0.9502038602669366,1,1,0,0.9185512065887451,0.4755706489086151,CBBT2.jpg,resnet50,1,Cross bedding,0.9185512065887451
shift_5px,0.5798975451649238,0.8321288051134542,1,1,0,0.9185512065887451,0.9585078954696655,CBBT2.jpg,resnet50,1,Cross bedding,0.9185512065887451
bright_plus10,0.991820806103587,0.9985750119008816,1,1,0,0.9035188555717468,0.9228553175926208,CBBT3.jpg,resnet50,1,Cross bedding,0.9035188555717468
bright_minus10,0.9889260322073776,0.9976790103147936,1,1,0,0.9035188555717468,0.8732737898826599,CBBT3.jpg,resnet50,1,Cross bedding,0.9035188555717468
noise_sigma6,0.9176353293530378,0.9744224799585647,1,1,0,0.9035188555717468,0.926892101764679,CBBT3.jpg,resnet50,1,Cross bedding,0.9035188555717468
blur_sigma2,0.8978723997754858,0.9631681236015792,1,1,0,0.9035188555717468,0.9302738904953003,CBBT3.jpg,resnet50,1,Cross bedding,0.9035188555717468
shift_5px,0.6849052443701857,0.8072332579314357,1,1,0,0.9035188555717468,0.6784850358963013,CBBT3.jpg,resnet50,1,Cross bedding,0.9035188555717468
bright_plus10,0.9830355853640003,0.9969769495138914,1,1,0,0.9269378781318665,0.9020892381668091,CBBT4.png,resnet50,1,Cross bedding,0.9269378781318665
bright_minus10,0.9829501060073037,0.9975384406121136,1,1,0,0.9269378781318665,0.929510772228241,CBBT4.png,resnet50,1,Cross bedding,0.9269378781318665
noise_sigma6,0.9467018906115814,0.9882071982030418,1,1,0,0.9269378781318665,0.9418850541114807,CBBT4.png,resnet50,1,Cross bedding,0.9269378781318665
blur_sigma2,0.8243228312963995,0.963137556139624,1,1,0,0.9269378781318665,0.9065086245536804,CBBT4.png,resnet50,1,Cross bedding,0.9269378781318665
shift_5px,0.7253842219270126,0.8347775430235344,1,1,0,0.9269378781318665,0.8611042499542236,CBBT4.png,resnet50,1,Cross bedding,0.9269378781318665
bright_plus10,0.9823817832245088,0.993945215690467,0,0,0,0.3364293575286865,0.4665043354034424,CongBT1.jpg,resnet50,0,Conglomerate,0.3364293575286865
bright_minus10,0.9759847919087691,0.9914790727749911,0,0,0,0.3364293575286865,0.22990137338638306,CongBT1.jpg,resnet50,0,Conglomerate,0.3364293575286865
noise_sigma6,0.9133526006284416,0.9627943064797767,0,0,0,0.3364293575286865,0.3443920910358429,CongBT1.jpg,resnet50,0,Conglomerate,0.3364293575286865
blur_sigma2,0.7728224143690604,0.8982281292899693,0,6,1,0.3364293575286865,0.08211236447095871,CongBT1.jpg,resnet50,0,Conglomerate,0.3364293575286865
shift_5px,0.6756928533629073,0.7764310060869577,0,0,0,0.3364293575286865,0.9606639742851257,CongBT1.jpg,resnet50,0,Conglomerate,0.3364293575286865
bright_plus10,0.9853999980917162,0.9961979303918044,0,0,0,0.8318764567375183,0.8182582855224609,CongBT3.jpg,resnet50,0,Conglomerate,0.8318764567375183
bright_minus10,0.971766774443783,0.9926897083177743,0,0,0,0.8318764567375183,0.8098698258399963,CongBT3.jpg,resnet50,0,Conglomerate,0.8318764567375183
noise_sigma6,0.9928838669571468,0.9989589536100446,0,0,0,0.8318764567375183,0.8426002860069275,CongBT3.jpg,resnet50,0,Conglomerate,0.8318764567375183
